Waterbody,State,County,Site Number,Site ID,Site Description,Site Latitude,Site Longitude,HWM Label,HWM ID,HWM Location Description,HWM Type,HWM Quality,Height Above Ground (ft),HWM Latitude,HWM Longitude,Surveyed HWM Elevation (ft)
Black River (Town of Springfield),VT,Windsor County,VTWIN31234,31234,"Black River, upstream of North Depot Street bridge, Ludlow, VT",43.396573,-72.70134,VT-027-LU-416,45061,"White USGS HWM disc on debris line on 16"" dual trunk tree. ~50 ft from downstream corner of deck",Debris,Fair: +/- 0.20 ft,6.2,43.39683641,-72.70143677,1002.9
Black River (Town of Springfield),VT,Windsor County,VTWIN31176,31176,"Black River, downstream of North Depot Street bridge, Ludlow, VT",43.396885,-72.700142,VT-027-LU-417,45057,White USGS HWM disc on debris on corner post of floodwall in between apts 208 and 207,Debris,Poor: +/- 0.40 ft,2.5,43.39653373,-72.70030038,1001.7
Black River (Town of Springfield),VT,Windsor County,VTWIN33494,33494,Upstream of Main St. Bridge,43.39640045,-72.69809723,VT-027-LU-419,45062,Sharpie line on mud line on corner of blue wall of handicap ramp to TDS on white trim (SW corner),Mud,Excellent: +/- 0.05 ft,3.15,43.39625423,-72.6977715,996.36
Black River (Town of Springfield),VT,Windsor County,VTWIN31177,31177,"Black River, upstream of Main Street bridge, Ludlow, VT",43.396424,-72.697183,VT-027-LU-420,45059,Wooden stake on debris line ~10 ft up from TOBL. Opposite side of river from bend in concrete wall.,Debris,Poor: +/- 0.40 ft,0,43.39657062,-72.69714327,996.51
Black River (Town of Springfield),VT,Windsor County,VTWIN31233,31233,"Black River, downstream of Main Street bridge, Ludlow, VT",43.395993,-72.696346,VT-027-LU-421,45058,Measurement up from concrete pad of AC unit to seedline at NE corner of Jeremy Mcwhorter building.,Seed line,Good: +/- 0.10 ft,0.5,43.39568364,-72.69624703,993.46
Black River (Town of Springfield),VT,Windsor County,VTWIN31178,31178,"Black River, upstream of Mill Street bridge, Ludlow, VT",43.394818,-72.692258,VT-027-LU-422,45060,Sharpie line on mudline on butterfly shed sliding door. 1 ft above pink lock,Mud,Excellent: +/- 0.05 ft,3.8,43.3949945,-72.69235653,989.03
Black River (Town of Springfield),VT,Windsor County,VTWIN31132,31132,"Black River, downstream of Mill Street bridge, Ludlow, VT",43.394838,-72.691236,VT-027-LU-423,45055,"White USGS HWM disc on debris line on 10"" tree. ~100 ft upstream from brick house on TOBL.",Debris,Fair: +/- 0.20 ft,4.6,43.39497117,-72.69056858,986.94
Black River (Town of Springfield),VT,Windsor County,VTWIN31132,31132,"Black River, downstream of Mill Street bridge, Ludlow, VT",43.394838,-72.691236,VT-027-LU-424,45064,"Wooden stake with flagging on slope 15 ft below TOBR, straight across from white door on brick building on debris line",Debris,Poor: +/- 0.40 ft,0,43.39473351,-72.69027055,985.65
Black River (Town of Springfield),VT,Windsor County,VTWIN31176,31176,"Black River, downstream of North Depot Street bridge, Ludlow, VT",43.396885,-72.700142,VT-027-LU-425,45073,"White USGS HWM disc on seedline on 10"" tree. ~100 ft downstream of bridge, ~5 ft from slope to Smith St",Seed line,Excellent: +/- 0.05 ft,4,43.39686408,-72.70058235,1000.18
Black River (Town of Springfield),VT,Windsor County,VTWIN31178,31178,"Black River, upstream of Mill Street bridge, Ludlow, VT",43.394818,-72.692258,VT-027-LU-426,45200,"8"" nail with flagging ~15 ft US of telephone pole (407/722/1/8). US of rock on debris line. USR of Mill St bridge",Debris,Fair: +/- 0.20 ft,0,43.39443875,-72.6925393,989.8
Black River (Town of Springfield),VT,Windsor County,VTWIN33566,33566,"Off of Maple Street, Springfield VT",43.33840179,-72.5121994,VT-027-NS-444,45196,White USGS HWM disc in bottom of 14 inch tree behind wooden log barrier system. Marked with flagging,Vegetation line,Good: +/- 0.10 ft,0.9,43.33842227,-72.51198629,525.74
Black River (Town of Springfield),VT,Windsor County,VTWIN31159,31159,"Black River, upstream of Upper Falls Road covered bridge, Weathersfield, VT",43.398609,-72.522822,VT-027-PE-437,45195,"8 inch nail in debris line. ~250 ft US from bridge, flagging on nail and brush",Debris,Fair: +/- 0.20 ft,0,43.39844286,-72.52286356,583.01
Black River (Town of Springfield),VT,Windsor County,VTWIN31127,31127,"Black River, downstream of Upper Falls Road covered bridge, Weathersfield, VT",43.398034,-72.521618,VT-027-PE-438,45202,"8 inch nail with flagging on washline. ~250 ft DS of bridge, ~8 ft right of TOBR",Wash line,Fair: +/- 0.20 ft,0,43.39802482,-72.52166045,580.91
Black River (Town of Springfield),VT,Windsor County,VTWIN31180,31180,"Black River; at rock with old orifice and marked by USGS HWM Disc, Weathersfield, VT",43.39785,-72.520091,VT-027-PE-439,45201,8 inch nail with flagging in washline. ~150 ft SE from SE corner of grey/tan house.,Wash line,Poor: +/- 0.40 ft,0,43.39811565,-72.52018774,579.11
