Waterbody,State,County,Site Number,Site ID,Site Description,Site Latitude,Site Longitude,HWM Label,HWM ID,HWM Location Description,HWM Type,HWM Quality,Height Above Ground (ft),HWM Latitude,HWM Longitude,Surveyed HWM Elevation (ft)
Dog River,VT,Washington County,VTWAS33919,33919,"USR of VT Rt 12, Dog River, Northfield VT",44.1612436,-72.65620709,VT-023-NL-311,45798,White USGS HWM disc in double tree ~200 ft US of bridge,Debris,Poor: +/- 0.40 ft,,44.1612436,-72.65620709,666.48
Dog River,VT,Washington County,VTWAS30727,30727,"Dog River, downstream of North Main Street/Route 12 bridge, Northfield, VT",44.161647,-72.656756,VT-023-NL-312,45171,White USGS HWM disc in tall pine tree across river from a set of dumpsters,Seed line,Fair: +/- 0.20 ft,0,44.1617239,-72.65685593,667.15
Dog River,VT,Washington County,VTWAS30729,30729,"Dog River, downstream of North Main Street bridge, Northfield, VT",44.149573,-72.655569,VT-023-NL-313,45181,Debris/seed line along concrete wall. Anchor bolt in retaining wall is HWM,Debris,Good: +/- 0.10 ft,0,44.14956208,-72.6553826,718.31
Dog River,VT,Washington County,VTWAS30728,30728,"Dog River, downstream of North Main Street/Route 12 bridge, Northfield, VT",44.149297,-72.654975,VT-023-NL-314,45176,HWM disc in large bending tree on sandy riverbank behind house 38,Seed line,Poor: +/- 0.40 ft,0,44.14926855,-72.65550183,718.5
Dog River,VT,Washington County,VTWAS33565,33565,"Between a railroad bridge and a bridge on N. Main Street, Northfield VT",44.14989853,-72.65660095,VT-023-NL-315,45179,White USGS HWM disc in medium sized maple tree,Debris,Poor: +/- 0.40 ft,0,44.1498715,-72.65659026,718.32
Dog River,VT,Washington County,VTWAS33640,33640,"Downstream of where the Water Street bridge crosses Union Brook, Northfield VT",44.14910126,-72.66079712,VT-023-NL-316,45297,Corner of guard rail painted orange,Seed line,Fair: +/- 0.20 ft,2.67,44.149061,-72.66077927,725.46
Dog River,VT,Washington County,VTWAS30711,30711,"Dog River, upstream of Wall Street bridge, Northfield, VT",44.148567,-72.660396,VT-023-NL-317,45315,Green HWM disc in large single tree at back of property (tree has a hammock),Debris,Fair: +/- 0.20 ft,0,44.14842296,-72.6607374,723.03
Dog River,VT,Washington County,VTWAS33917,33917,"Upstream Fairground Rd, Dog River, Northfield VT",44.12246898,-72.66577444,VT-023-NL-318,45805,HWM disc set in birch tree in line with telephone pole #29,Seed line,Poor: +/- 0.40 ft,,44.12238976,-72.66556087,756.61
Dog River,VT,Washington County,VTWAS30723,30723,"Dog River, downstream of Fairground Road bridge, Northfield, VT",44.123086,-72.665497,VT-023-NL-319,45314,HWM disc set in telephone pole #27,Debris,Poor: +/- 0.40 ft,0,44.12308963,-72.66496504,754.45
Dog River,VT,Washington County,VTWAS33917,33917,"Upstream Fairground Rd, Dog River, Northfield VT",44.12246898,-72.66577444,VT-023-NL-320,45799,White USGS HWM disc in medium sized maple tree. At edge of sandy bank near a large grassy field ~200 ft US of bridge,Seed line,Fair: +/- 0.20 ft,,44.12246898,-72.66577444,756.11
Dog River,VT,Washington County,VTWAS30723,30723,"Dog River, downstream of Fairground Road bridge, Northfield, VT",44.123086,-72.665497,VT-023-NL-321,45186,"White USGS HWM disc in small beech tree, 30 ft from field. ~250 ft DS",Vegetation line,Fair: +/- 0.20 ft,0,44.1229678,-72.66561494,755.14
Dog River,VT,Washington County,VTWAS33915,33915,"Upstream Stony Brook Rd, Dog River, Northfield VT",44.11694553,-72.67551303,VT-023-NL-322,45800,White USGS HWM disc in telephone pole USL of bridge,Debris,Good: +/- 0.10 ft,,44.11694553,-72.67551303,776.19
Dog River,VT,Washington County,VTWAS30715,30715,"Dog River, downstream of Stony Brook Road bridge, Northfield, VT",44.117147,-72.675275,VT-023-NL-323,45193,White USGS HWM near base of tree ~40 ft DS of bridge,Debris,Fair: +/- 0.20 ft,0,44.11718248,-72.67522771,774.66
Dog River,VT,Washington County,VTWAS30715,30715,"Dog River, downstream of Stony Brook Road bridge, Northfield, VT",44.117147,-72.675275,VT-023-NL-324,45194,HWM taped up from seed line to stump. Next to telephone pole (50/51),Seed line,Poor: +/- 0.40 ft,1.5,44.11728409,-72.67463004,774.31
Dog River,VT,Washington County,VTWAS33915,33915,"Upstream Stony Brook Rd, Dog River, Northfield VT",44.11694553,-72.67551303,VT-023-NL-325,45806,"Bolt head set in 40 mph sign, across road from natural spring. 200 ft US from bridge",Seed line,Fair: +/- 0.20 ft,,44.11680162,-72.67554141,776.36
Dog River,VT,Washington County,VTWAS30717,30717,"Dog River, upstream of route 12A bridge, Northfield, VT",44.111535,-72.686113,VT-023-NL-326,45190,White USGS HWM disc in tree between golf and rd bridge,Debris,Poor: +/- 0.40 ft,0,44.11185068,-72.68612489,805.62
Dog River,VT,Washington County,VTWAS33916,33916,"Downstream of VT Rt 12A, Dog River, Northfield VT",44.11252855,-72.68585547,VT-023-NL-327,45803,Anchor bolt in large stone on bank. DSR of bridge just before DS golf bridge,Seed line,Poor: +/- 0.40 ft,,44.11252855,-72.68585547,803.16
Dog River,VT,Washington County,VTWAS30718,30718,"Dog River, downstream of Route 12A bridge, Northfield, VT",44.11786,-72.718432,VT-023-NL-328,45185,White USGS HWM disc with nail in double birch tree along DSL bank. 300 ft DS of bridge,Debris,Fair: +/- 0.20 ft,0,44.11778925,-72.7181245,889.21
Dog River,VT,Washington County,VTWAS30718,30718,"Dog River, downstream of Route 12A bridge, Northfield, VT",44.11786,-72.718432,VT-023-NL-329,45192,White USGS HWM disc and nail off of dirt driveway to house 4093 ~300 ft DS of bridge. Directly across from NL-328,Debris,Fair: +/- 0.20 ft,0,44.11762594,-72.71827526,889.08
Dog River,VT,Washington County,VTWAS33553,33553,"Downstream of railroad bridge and VT-12, Berlin VT",44.18249893,-72.64060211,VT-023-WB-301,45157,White USGS HWM disc set 3 ft up along tree ~300 ft US of USGS gage. DSR of railroad bridge,Vegetation line,Fair: +/- 0.20 ft,0,44.18243981,-72.64052548,613.54
Dog River,VT,Washington County,VTWAS33553,33553,"Downstream of railroad bridge and VT-12, Berlin VT",44.18249893,-72.64060211,VT-023-WB-302,45159,Mark in leaf line along banks set in birch root. DSL of bridge,Debris,Fair: +/- 0.20 ft,0,44.18213647,-72.64056797,615.45
East Branch Passumpsic River,VT,Caledonia County,VTCAL30498,30498,"East Branch Passumpsic River, downstream East Burke Road (Route 114) bridge, Lyndonville, VT",44.549304,-71.991323,VT-005-LY-800,45453,"Green HWM disc on mudline on 32 inch tree, ~25 ft US of bridge on TOBR",Mud,Fair: +/- 0.20 ft,0.55,44.54929369,-71.9913177,707.5
East Branch Passumpsic River,VT,Caledonia County,VTCAL30499,30499,"East Branch Passumpsic River, upstream East Burke Road (Route 114) bridge, Lyndonville, VT",44.549657,-71.991412,VT-005-LY-801,45456,"Green HWM disc on mudline on US side of wooden steps, down path from road to construction area",Mud,Good: +/- 0.10 ft,0.33,44.54986133,-71.99133244,707.92
East Branch Passumpsic River,VT,Caledonia County,VTCAL30498,30498,"East Branch Passumpsic River, downstream East Burke Road (Route 114) bridge, Lyndonville, VT",44.549304,-71.991323,VT-005-LY-802,45463,Green HWM disc on seedline on dual 20 inch trees. ~100 ft US on streamward side,Seed line,Good: +/- 0.10 ft,3.5,44.54912823,-71.99141026,707.94
East Branch Passumpsic River,VT,Caledonia County,VTCAL30501,30501,"East Branch Passumpsic River, upstream of Lily Pond Road bridge, Lyndonville, VT",44.549822,-71.986,VT-005-LY-812,45486,Flagged wooden stake on debris line ~2 ft streamward and US from Irene HWM (big bush/tiny tree),Debris,Fair: +/- 0.20 ft,0,44.54978633,-71.98600208,707.17
East Branch Passumpsic River,VT,Caledonia County,VTCAL30500,30500,"East Branch Passumpsic River, downstream Lily Pond Road bridge, Lyndonville, VT",44.549835,-71.986345,VT-005-LY-813,45485,Sharpie line on 4th step down from top of mudline. Steps lead down to base of DSL wingwall,Mud,Fair: +/- 0.20 ft,0.12,44.54961319,-71.98620621,708.35
East Branch Passumpsic River,VT,Caledonia County,VTCAL30502,30502,"East Branch Passumpsic River, downstream of covered bridge, Lyndonville, Lyndonville, VT",44.553496,-71.969822,VT-005-LY-814,45493,"Taped to ground at debris line, ~75 ft DS of bridge, ~6 ft from waterline",Debris,Poor: +/- 0.40 ft,0,44.55352988,-71.96972289,726.68
East Branch Passumpsic River,VT,Caledonia County,VTCAL33874,33874,"Downstream of Burrington Bridge Rd, Lyndonville VT",44.55296704,-71.9702297,VT-005-LY-815,45717, ,Debris,Fair: +/- 0.20 ft,0,44.55296704,-71.9702297,725.88
East Branch Passumpsic River,VT,Caledonia County,VTCAL33873,33873,"Upstream of Burrington Bridge Rd, Lyndonville VT",44.5536548,-71.9688128,VT-005-LY-816,45718, ,Debris,Fair: +/- 0.20 ft,0,44.55371924,-71.96916481,726.6
East Branch Passumpsic River,VT,Caledonia County,VTCAL33873,33873,"Upstream of Burrington Bridge Rd, Lyndonville VT",44.5536548,-71.9688128,VT-005-LY-817,45716, ,Debris,Fair: +/- 0.20 ft,0,44.5536548,-71.9688128,726.5
East Branch Passumpsic River,VT,Caledonia County,VTCAL30503,30503,"East Branch Passumpsic River, downstream East Burke Road bridge, Lyndonville, VT",44.559184,-71.964025,VT-005-LY-818,45496,"8 inch flagged nail on fine debris line. ~50 ft DS from bridge, ~8 ft from waters edge",Debris,Good: +/- 0.10 ft,0,44.55916158,-71.96403976,739.4
East Branch Passumpsic River,VT,Caledonia County,VTCAL30504,30504,"East Branch Passumpsic River, upstream East Burke Road bridge, Lyndonville, VT",44.559433,-71.963968,VT-005-LY-819,45500,"8 inch flagged nail on fine sandline. ~4 ft from waters edge, ~120 ft from bridge",Seed line,Fair: +/- 0.20 ft,0,44.55956894,-71.96366639,739.83
East Branch Passumpsic River,VT,Caledonia County,VTCAL30504,30504,"East Branch Passumpsic River, upstream East Burke Road bridge, Lyndonville, VT",44.559433,-71.963968,VT-005-LY-820,45504,"8 inch flagged nail on debris/wash line. ~220 ft from bridge, ~4 ft from waterline at 19 inch birch tree",Debris,Fair: +/- 0.20 ft,0,44.55967509,-71.96393623,740.61
Gihon River,VT,Lamoille County,VTLAM33671,33671,"Town Clerk parking lot, Johnson VT",44.63589859,-72.68440247,VT-015-JO-247,45370,"Sharpie on outside of town hall, back/side door",Stain line,Excellent: +/- 0.05 ft,0.71,44.63615877,-72.68455037,500.42
Gihon River,VT,Lamoille County,VTLAM33672,33672,"USPS parking lot, Johnson VT",44.63529968,-72.68219757,VT-015-JO-248,45367,Sharpie mark under recieving area at upper corner of doorway on southside of building,Stain line,Excellent: +/- 0.05 ft,7.43,44.63536467,-72.68219098,500.83
Gihon River,VT,Lamoille County,VTLAM33673,33673,"United Church of Johnson Thrift Shop, Johnson VT",44.63639832,-72.68080139,VT-015-JO-249,45366,Sharpie mark on building below window,Stain line,Excellent: +/- 0.05 ft,2.72,44.63644952,-72.68094025,500.66
Gihon River,VT,Lamoille County,VTLAM33674,33674,"Downstream of Lower Main Street W bridge, next to shopping center, Johnson VT",44.63669968,-72.68219757,VT-015-JO-250,45373,Seed line on side of building at 0.065 ft below the top of the 6th clapboard from bottom fascia,Seed line,Excellent: +/- 0.05 ft,2.83,44.63672006,-72.68225761,499.86
Graves Brook,VT,Washington County,VTWAS33668,33668,"In Dascomb Rowe Field, Waterbury Village Historic District VT",44.34059906,-72.75920105,VT-023-WJ-747,45351,"White HWM disc on 18 inch diameter hardwood, 5 ft streamward of Rowe Field gate",Seed line,Fair: +/- 0.20 ft,4.3,44.34062396,-72.75913589,422.34
Graves Brook,VT,Washington County,VTWAS33668,33668,"In Dascomb Rowe Field, Waterbury Village Historic District VT",44.34059906,-72.75920105,VT-023-WJ-748,45354,White HWM disc on sapling 10 ft US and 40 ft riverward of gate/fence,Mud,Good: +/- 0.10 ft,4.6,44.34078974,-72.7595321,422.39
Graves Brook,VT,Washington County,VTWAS33901,33901,"Upstream of Union Street, Graves Brook, Waterbury VT",44.34119514,-72.75887639,VT-023-WJ-749,45778,White HWM and pink flagging in lower limbs of hardwood 10 ft US of utility pole 11266,Seed line,Good: +/- 0.10 ft,1.2,44.34119514,-72.75887639,422.64
Graves Brook,VT,Washington County,VTWAS33901,33901,"Upstream of Union Street, Graves Brook, Waterbury VT",44.34119514,-72.75887639,VT-023-WJ-750,45781,Sharpie line on back of bench near intersection of Moran Ln and N Main St,Mud,Fair: +/- 0.20 ft,2.4,44.34118542,-72.75903026,422.52
Graves Brook,VT,Washington County,VTWAS33902,33902,"Downstream of Union St, Graves Brook, Waterbury VT",44.34075202,-72.75827651,VT-023-WJ-751,45779,Tiny sharpie line (couldn't find landowner so actual mark not made) on DS side of 42 Moran Ln toward river,Mud,Good: +/- 0.10 ft,3,44.34075202,-72.75827651,421.25
Graves Brook,VT,Washington County,VTWAS33903,33903,"Whalley Park, Graves Brook, Waterbury VT",44.34150655,-72.75817894,VT-023-WJ-752,45780,Sharpie line on US side of garage directly across from 101,Seed line,Good: +/- 0.10 ft,3.4,44.34150655,-72.75817894,422.66
Graves Brook,VT,Washington County,VTWAS33694,33694,"Near the intersection of Armory Drive and O'Hear Ct., Waterbury Village Historic District VT",44.34140015,-72.75700378,VT-023-WJ-753,45386,White HWM disc with pink flagging on maple tree 5 ft bankward of armory,Mud,Fair: +/- 0.20 ft,3.3,44.34140311,-72.75686549,422.29
Jail Branch,VT,Washington County,VTWAS33680,33680,"Downstream of the S Main Street bridge, Barre VT",44.18999863,-72.49859619,VT-023-BA-466,45378,Sharpie line on mudline on tallest post of wooden railing of garage closest to river (Kelley Bros),Mud,Good: +/- 0.10 ft,0.77,44.18998289,-72.49870779,615.68
Jail Branch,VT,Washington County,VTWAS33681,33681,"Upstream from railroad bridge, next to football field, Barre VT",44.18939972,-72.49770355,VT-023-BA-467,45383,8 inch nail with flagging on washline at bottom of slope of path from RR bridge,Wash line,Fair: +/- 0.20 ft,0,44.18931676,-72.49772092,616.92
Jail Branch,VT,Washington County,VTWAS33682,33682,"Next to power lines, downstream of bridge, Barre VT",44.19010162,-72.50009918,VT-023-BA-468,45381,8 inch flagged nail at back left corner of rocks around power station,Mud,Good: +/- 0.10 ft,0,44.19017128,-72.49998309,614.21
Jail Branch,VT,Washington County,VTWAS33681,33681,"Upstream from railroad bridge, next to football field, Barre VT",44.18939972,-72.49770355,VT-023-BA-469,45377,Sharpie line on post of fence line USR of RR bridge,Debris,Good: +/- 0.10 ft,0.79,44.18955473,-72.49749313,616.66
Jail Branch,VT,Washington County,VTWAS33683,33683,"Next to Barre City School Department, Barre VT",44.18880081,-72.49240112,VT-023-BA-470,45376,"8 inch flagged nail ~15 ft SSE from tree, ~100 ft SSW from telephone pole",Wash line,Very Poor: > 0.40 ft,0,44.18883737,-72.49234761,624.91
Jail Branch,VT,Washington County,VTWAS33684,33684,"Downstream of Robbins Nest Covered Bridge, Barre VT",44.17869949,-72.47180176,VT-023-BA-471,45375,8 inch flagged nail beyond NW corner of field marked by flagging,Mud,Poor: +/- 0.40 ft,0,44.1786177,-72.47181067,784.29
Jail Branch,VT,Washington County,VTWAS33685,33685,"Upstream of Robbins Nest Covered Bridge, Barre VT",44.17819977,-72.47029877,VT-023-BA-472,45379,Flagged wooden stake ~60 ft SSE of SE corner of field,Mud,Poor: +/- 0.40 ft,0,44.17828146,-72.47035626,789.75
Jail Branch,VT,Washington County,VTWAS33684,33684,"Downstream of Robbins Nest Covered Bridge, Barre VT",44.17869949,-72.47180176,VT-023-BA-473,45384,8 inch flagged nail on washline/mudline at base of 4 trunk tree. ~250 ft DS of bridge on opposite bank of 471,Wash line,Poor: +/- 0.40 ft,0,44.17883721,-72.47197298,785.51
Jail Branch,VT,Washington County,VTWAS33686,33686,"Upstream of footbridge, behind house, Barre VT",44.1772995,-72.46959686,VT-023-BA-474,45382,8 inch flagged nail on washline/mudline behind (~7 ft) concrete blocks at treeline,Wash line,Poor: +/- 0.40 ft,0,44.17737265,-72.46962484,789.93
Jewell Brook,VT,Windsor County,VTWIN33496,33496,"Downstream of Main St. Bridge on Jewell Brook, Ludlow VT",43.39619827,-72.70269775,VT-027-LU-410,45066,"White USGS HWM disc on 10"" tree. ~50 ft W/SW of NW corner of parking lot",Seed line,Good: +/- 0.10 ft,5.5,43.39672161,-72.70242486,1005.3
Jewell Brook,VT,Windsor County,VTWIN33496,33496,"Downstream of Main St. Bridge on Jewell Brook, Ludlow VT",43.39619827,-72.70269775,VT-027-LU-411,45069,White USGS HWM disc on debris line in Financial Wealth parking lot,Debris,Good: +/- 0.10 ft,0,43.39614181,-72.70267906,1005.82
Jewell Brook,VT,Windsor County,VTWIN33497,33497,"Upstream of Main St. Bridge on Jewell Brook, Ludlow VT",43.39559937,-72.70269775,VT-027-LU-412,45072,White USGS HWM disc ~90 ft upstream of bridge on pole 85/1/40T/9710/1 on seed line,Seed line,Fair: +/- 0.20 ft,5.8,43.39557796,-72.70272199,1012.08
Jewell Brook,VT,Windsor County,VTWIN31236,31236,"Jewell Brook, upstream of Route 103 bridge, Ludlow, VT",43.395106,-72.703259,VT-027-LU-413,45068,"White USGS HWM disc on debris line in fencing in 7"" tree. ~15 ft NW of NW corner of garage",Debris,Poor: +/- 0.40 ft,2.4,43.39494606,-72.70370602,1013.19
Lamoille River,VT,Caledonia County,VTCAL33841,33841,Upstream Left of Pumpkin Ln Bridge on Lamoille River,44.505985,-72.318865,HWM1,45673,Upstream left of Pumpkin Ln Bridge,Debris,Unknown/Historical,,44.50615255,-72.31882861,965.65
Lamoille River,VT,Caledonia County,VTCAL33511,33511,"Upstream of Pumpkin Ln Bridge, Hardwick VT",44.50559998,-72.31890106,HWM2,45664,Upstream right of Pumpkin Ln Bridge,Debris,Unknown/Historical,,44.50561992,-72.31884872,965.35
Lamoille River,VT,Caledonia County,VTCAL33511,33511,"Upstream of Pumpkin Ln Bridge, Hardwick VT",44.50559998,-72.31890106,HWM3,45668,Upstream right of Pumpkin Ln Bridge,Debris,Unknown/Historical,,44.50572423,-72.31893358,965.46
Lamoille River,VT,Caledonia County,VTCAL33511,33511,"Upstream of Pumpkin Ln Bridge, Hardwick VT",44.50559998,-72.31890106,HWM4,45670,Upstream right of Pumpkin Ln Bridge,Debris,Unknown/Historical,,44.50577647,-72.31900054,965.74
Lamoille River,VT,Caledonia County,VTCAL33511,33511,"Upstream of Pumpkin Ln Bridge, Hardwick VT",44.50559998,-72.31890106,HWM5,45671,Upstream right of Pumpkin Ln Bridge,Debris,Unknown/Historical,,44.50589678,-72.31913916,966.04
Lamoille River,VT,Caledonia County,VTCAL33512,33512,"Downstream of Pumpkin Ln Bridge, Hardwick VT",44.50529861,-72.31860352,HWM6,45675, ,Debris,Unknown/Historical,,44.50547597,-72.31811062,963.96
Lamoille River,VT,Caledonia County,VTCAL33511,33511,"Upstream of Pumpkin Ln Bridge, Hardwick VT",44.50559998,-72.31890106,VT-005-HA-201,45086,Upstream right of Pumpkin Ln bridge,Debris,Unknown/Historical,0,44.50551208,-72.31875169,965.04
Lamoille River,VT,Caledonia County,VTCAL33511,33511,"Upstream of Pumpkin Ln Bridge, Hardwick VT",44.50559998,-72.31890106,VT-005-HA-202,45092,Upstream left of Pumpkin Ln bridge,Debris,Unknown/Historical,0,44.50559155,-72.31836943,965.03
Lamoille River,VT,Caledonia County,VTCAL33512,33512,"Downstream of Pumpkin Ln Bridge, Hardwick VT",44.50529861,-72.31860352,VT-005-HA-203,45093,Downstream left of Pumpkin Ln bridge,Debris,Very Poor: > 0.40 ft,0,44.5054677,-72.31829096,963.69
Lamoille River,VT,Caledonia County,VTCAL33512,33512,"Downstream of Pumpkin Ln Bridge, Hardwick VT",44.50529861,-72.31860352,VT-005-HA-204,45090,Downstream right of Pumpkin Ln bridge,Debris,Unknown/Historical,0,44.50537265,-72.3186373,962.77
Lamoille River,VT,Caledonia County,VTCAL33512,33512,"Downstream of Pumpkin Ln Bridge, Hardwick VT",44.50529861,-72.31860352,VT-005-HA-204B,45674, ,Debris,Unknown/Historical,0,44.50538761,-72.31862975,963.62
Lamoille River,VT,Caledonia County,VTCAL33513,33513,"Downstream of Main Street Bridge, Lamoille River, Hardwick VT",44.50490189,-72.36569977,VT-005-HA-205,45087,"Paint on rock, sediment on DS side of sloping rock",Debris,Fair: +/- 0.20 ft,1,44.50493977,-72.36546099,831.49
Lamoille River,VT,Caledonia County,VTCAL33514,33514,"Upstream of Main Street Bridge, Lamoille River, Hardwick VT",44.50500107,-72.3660965,VT-005-HA-206,45085,Seed/mud line in doorway transposed to outside,Mud,Unknown/Historical,1.5,44.50516732,-72.36608105,829.21
Lamoille River,VT,Caledonia County,VTCAL33722,33722,"Next to Hardwick Sewage Treatment, Hardwick VT",44.51470184,-72.37529755,VT-005-HA-265,45441,Sharpie line on fence post at Hardwick WWTP,Debris,Good: +/- 0.10 ft,2.59,44.51488861,-72.37538784,803.55
Lamoille River,VT,Caledonia County,VTCAL33723,33723,"In business parking lot, Hardwick VT",44.51610184,-72.37439728,VT-005-HA-266,45436,Sharpie line on white fence at Lamoille Valley Ford,Stain line,Unknown/Historical,2.81,44.51624153,-72.37455546,803.06
Lamoille River,VT,Caledonia County,VTCAL33724,33724,"Upstream of dam and VT-15 bridge, Hardwick VT",44.51720047,-72.37809753,VT-005-HA-267,45440,Stake at grade behind gas station at USR of dam,Vegetation line,Unknown/Historical,0,44.51733067,-72.37833019,802.44
Lamoille River,VT,Caledonia County,VTCAL33736,33736,"Next to building on Mill Street, Hardwick VT",44.50279999,-72.36139679,VT-005-HA-269,45472,Debris on ground transferred to pool fence. Green HWM disc,Debris,Good: +/- 0.10 ft,0.31,44.50286078,-72.36170174,842.1
Lamoille River,VT,Caledonia County,VTCAL33842,33842,"Upstream of Lamoille Valley Rail Trail Bridge, Hardwick VT",44.502901,-72.349188,VT-005-HA-270,45676, ,Wash line,Unknown/Historical,0,44.50283871,-72.34897309,887.19
Lamoille River,VT,Caledonia County,VTCAL33737,33737,"Next to building downstream of Lamoille Valley Rail Trail bridge, Hardwick VT",44.50220108,-72.35030365,VT-005-HA-271,45480,Debris line in backyard just DS of house 609. Stake at grade,Debris,Good: +/- 0.10 ft,0,44.50233105,-72.350359,880.02
Lamoille River,VT,Caledonia County,VTCAL33843,33843,"Upstream of Cottage Street Bridge, Hardwick VT",44.506568,-72.369798,VT-005-HA-272,45678, ,Debris,Unknown/Historical,0,44.50659777,-72.36968965,811.89
Lamoille River,VT,Caledonia County,VTCAL33843,33843,"Upstream of Cottage Street Bridge, Hardwick VT",44.506568,-72.369798,VT-005-HA-273,45677, ,Debris,Good: +/- 0.10 ft,0,44.50640593,-72.37004808,812.55
Lamoille River,VT,Caledonia County,VTCAL33844,33844,"Downstream of Cottage St Bridge, Hardwick VT",44.50706259,-72.37053501,VT-005-HA-274,45679, ,Seed line,Unknown/Historical,0,44.50706259,-72.37053501,810.47
Lamoille River,VT,Caledonia County,VTCAL33738,33738,"Downstream of Lamoille Valley Rail Trail bridge, Hardwick VT",44.5135994,-72.36979675,VT-005-HA-275,45681, ,Debris,Good: +/- 0.10 ft,0,44.5135777,-72.36979488,805.43
Lamoille River,VT,Caledonia County,VTCAL33845,33845,"Upstream of Lamoille Valley Rail Bridge, Hardwick VT",44.513501,-72.369924,VT-005-HA-276,45680, ,Debris,Good: +/- 0.10 ft,0,44.51360023,-72.36997332,807.46
Lamoille River,VT,Caledonia County,VTCAL33739,33739,"On side of road, Hardwick VT",44.51720047,-72.38110352,VT-005-HA-277,45483,Sharpie line and flagging DS of Rt. 15,Mud,Good: +/- 0.10 ft,1.83,44.51723759,-72.38118536,796.56
Lamoille River,VT,Chittenden County,VTCHI33648,33648,"Downstream of Roosevelt Highway bridge, near Gravelle Road, Colchester VT",44.60499954,-73.20800018,VT-007-MT-643,45326,Sharpie line on window frame on the SW side of the garage,Mud,Excellent: +/- 0.05 ft,2.36,44.60501156,-73.20798829,103.75
Lamoille River,VT,Chittenden County,VTCHI33649,33649,"Downstream of Bear Trap Road Bridge, on West Milton Road, Milton VT",44.63130188,-73.17150116,VT-007-MT-644,45333,Nail with white marker and orange flagging on the landward side of pine tree 30 ft US from mailbox #328,Seed line,Fair: +/- 0.20 ft,0,44.63125352,-73.17160097,108.38
Lamoille River,VT,Chittenden County,VTCHI33649,33649,"Downstream of Bear Trap Road Bridge, on West Milton Road, Milton VT",44.63130188,-73.17150116,VT-007-MT-645,45332,Nail with white marker and orange flagging on US face of tree. Tree is 60 ft DS of bridge and 30 ft DS of guard rail,Seed line,Good: +/- 0.10 ft,0,44.63135277,-73.1714929,108.47
Lamoille River,VT,Chittenden County,VTCHI33650,33650,"Upstream of Bear Trap Road bridge, on W Milton Road, Milton VT",44.63190079,-73.17089844,VT-007-MT-646,45328,Nail with white marker and orange flagging on DS side of cottonwood tree 80 ft from bridge,Seed line,Fair: +/- 0.20 ft,0,44.63186008,-73.17102586,108.4
Lamoille River,VT,Chittenden County,VTCHI33650,33650,"Upstream of Bear Trap Road bridge, on W Milton Road, Milton VT",44.63190079,-73.17089844,VT-007-MT-647,45327,Nail with white marker and orange flagging in maple tree 20 ft US of Bear Trap Rd sign. Across the street from 308 W Milton Rd,Seed line,Fair: +/- 0.20 ft,0,44.63212133,-73.17071915,108.55
Lamoille River,VT,Chittenden County,VTCHI33651,33651,"Upstream of Peterson Dam recreation Area, Milton VT",44.63800049,-73.16190338,VT-007-MT-648,45335,Seed line marked with sharpie on canoe portage sign. Sign marked with orange flagging. 50 ft US of dam,Seed line,Excellent: +/- 0.05 ft,1.06,44.63820259,-73.16202877,157.03
Lamoille River,VT,Chittenden County,VTCHI33652,33652,"Upstream of the dam next to US-7/River Street, Milton VT",44.64139938,-73.11139679,VT-007-MT-649,45331,Orange paint mark on streamward side of boulder. 300 ft US from dam on LEW,Seed line,Fair: +/- 0.20 ft,0,44.64152631,-73.1114486,289.64
Lamoille River,VT,Chittenden County,VTCHI33652,33652,"Upstream of the dam next to US-7/River Street, Milton VT",44.64139938,-73.11139679,VT-007-MT-650,45329,Top of seed line marked with paint on SW face of boulder. 320 ft US of dam,Seed line,Fair: +/- 0.20 ft,0,44.64153626,-73.11133064,289.28
Lamoille River,VT,Chittenden County,VTCHI33653,33653,"At the end of Ritchie Ave, next to the Lamoille River Walk, Milton VT",44.63529968,-73.12200165,VT-007-MT-651,45330,Silver sharpie on most SW and US post of picnic table. 30 ft DS of boat launch,Mud,Good: +/- 0.10 ft,1.99,44.63535711,-73.12193501,161.27
Lamoille River,VT,Chittenden County,VTCHI33654,33654,"Downstream of Arrow Head Lake Road bridge, upstream of railroad bridge, Georgia VT",44.63809967,-73.11389923,VT-007-MT-655,45692, ,Seed line,Excellent: +/- 0.05 ft,0,44.63797186,-73.11407129,258.71
Lamoille River,VT,Franklin County,VTFRA33855,33855,"Downstream of Arrow Head Lake Rd Bridge, Fairfax VT",44.67970167,-73.08218949,VT-007-MT-656,45695, ,Debris,Very Poor: > 0.40 ft,0,44.67970167,-73.08218949,293.1
Lamoille River,VT,Franklin County,VTFRA33655,33655,"At the intersection of River Road and Main Street by the bridge, Fairfax VT",44.65000153,-72.98940277,VT-011-CB-661,45338,"Stake with orange flagging and sharpie mark. On canoe portage path, DS side, above dam",Wash line,Very Poor: > 0.40 ft,0,44.65012706,-72.98927671,431.74
Lamoille River,VT,Franklin County,VTFRA33656,33656,"Upstream of the River Road bridge, Fairfax VT",44.6493988,-72.98860168,VT-011-CB-662,45344,Nail with white marker and orange flagging in beech tree 100 ft US of River Rd bridge. 300 ft SW from Main St,Seed line,Very Poor: > 0.40 ft,0,44.64945707,-72.98861133,433.47
